topology,n_nodes,n_edges,n_critical_paths,max_static_risk,max_gnn_risk,mean_static_risk,mean_gnn_risk,avg_difference
Belnet2008,21,24,3,0.5980738671348674,0.6789660358446362,0.34762758775563873,0.40821190518397077,0.060584317428332056
Belnet2009,21,24,3,0.5015337584577568,0.5771471915102475,0.2477164141201554,0.3122611532702066,0.06454473915005123
Belnet2010,22,25,3,0.5733920550006781,0.6396426767018061,0.29668897317619397,0.35902923788589675,0.062340264709702796
BeyondTheNetwork,53,65,3,0.5889614967694214,0.6635254818090299,0.3260644509932631,0.38188648611528697,0.05582203512202379
Bics,33,48,3,0.589255454973912,0.6322616755323006,0.30502723362940803,0.35984001669345317,0.05481278306404508
Biznet,29,33,3,0.6760411228740657,0.7315144743511206,0.3292216099839278,0.38893193968344014,0.059710329699512295
Bren,37,38,2,0.6661409232625087,0.7156804130803867,0.3360134381084654,0.38576506978575964,0.049751631677294295
BsonetEurope,18,23,3,0.5603616834657867,0.6253385571729935,0.28636419753082804,0.34581136259597245,0.0594471650651444
BtAsiaPac,20,31,3,0.6642996367379757,0.7461363234062476,0.2678432276335776,0.3318771594697531,0.06403393183617555
BtEurope,24,37,3,0.6092212521172045,0.6654650878797971,0.3068663620599127,0.36719064374894006,0.06032428168902738
BtLatinAmerica,51,50,3,0.605281029332594,0.6559019779589507,0.2973550458879701,0.3435705184754727,0.04621547258750265
BtNorthAmerica,36,76,3,0.6397351757040852,0.6745573169876953,0.3223412936535121,0.38429582980943716,0.06195453615592502
Canerie,32,41,3,0.6233601234286297,0.6922619501601149,0.31103902802861955,0.3653507052224066,0.05431167719378708
Carnet,44,43,1,0.6639965924048014,0.715550841916464,0.28745049461903704,0.34568140307211087,0.05823090845307387
Cernet,41,58,3,0.6564463504256783,0.7034738204564296,0.3008506484480983,0.3529227566666161,0.0520721082185178
Cesnet1993,10,9,1,0.4288064965995591,0.5075308682633337,0.2519921260510513,0.321930243299044,0.06993811724799266
Cesnet1997,13,12,1,0.47639179211224436,0.5268963059020414,0.341858925169429,0.3993472168414703,0.05748829167204134
Cesnet1999,13,12,1,0.4700896720918062,0.5447951871941754,0.2525118442862059,0.31354167486889145,0.061029830582685525
Cesnet2001,23,23,2,0.6654222664164238,0.7394213586513895,0.32658410312766223,0.40375319377086816,0.07716909064320589
Cesnet200304,29,33,3,0.6058830086954421,0.6767186412495882,0.30253925605472104,0.35762307026474777,0.055083814210026665
